index,name,cate_1,cate_2,cate_3,dong,lon,lat,cate_mix,naver_keyword,naver_map_url,naver_store_type,naver_star_point,naver_star_point_qty,naver_blog_review_txt,naver_blog_review_qty
2140,노랑통닭,닭/오리요리,후라이드/양념치킨,치킨 전문점,흑석동,37.5078502790846,126.96067235983801,닭 오리요리후라이드 양념치킨치킨 전문점,흑석동%20노랑통닭,https://m.place.naver.com/restaurant/38419604,"치킨,닭강정",4.45,121.0,"서울 흑석동 중앙대 치맥 맛집. 노랑통닭 순살 3종 세트 맛있어요. 2020년 9월의 어느 날.. 한국에 있는 YK 베트남 유학생들과의 모임. '의에 죽고 참에 살자'는 중앙대에 왔습니다.ㅎ 한국에만 가면 경희대, 서울여대...,노랑통닭은 양이 많은, 가성비가 좋은 치킨집이다. 하지만 고질적인 문제가 있는데, 먹다 보면 금방 물린다는 것이다. 맥주를 무한 제공해준다고 해도 저걸 둘이서 다 먹지는 못하겠다. 튀김이 너무 두꺼워서 속이 금방...,오늘은 불금 하지만 참 별거 없는 아기있는 집의 금요일 저녁 매일 하는 똑같은 고민 오늘 뭐먹지? 지혜띠띠의 알싸한 마늘치킨 리뷰를 보고 궁금해져서 우리도 시켜보기로 했다! 인생치킨에 추가라니 얼매나 맛있는지 함...,안녕하세요 샐리입니다 오늘은 오랜만에 학교 주변 맛집 포스팅으로 돌아왔숨다 예전에 노랑통닭을 배달시켜먹었는데 너무너무 맛이 없어서 그 뒤로 노랑통닭은 되도록 안 사 먹었는데요, 동기 언니가 정말 맛있다고 했고...,안녕하세요~~여러분. 저는 편집위원회 21기 오이망고, 멸치에용 ㅎㅎㅎ 저희는 밀포유로 중앙대의 명물인 노랑통닭을 가보았어요~~^^ 계산은 바로바로 두구두구 쥐치님께서 해주셨어요!!~~!! 역쉬 선배님의 스웩이랍니다...,안녕하세요! 간만에 치킨을 시키자 싶어서 어플을 뒤져보고 있는데, 못보던 메뉴를 발견했습니당. 찾아보니 이미 작년에 나온거라는데 ㅋㅋㅋㅋ 시키던 거만 시켜서 눈에 안보였나봐요 ㅋㅋㅋ 간바치는 간장 바비큐 치킨...,안녕하세요! 간만에 치킨을 먹었어요. 어디먹을까하다가 간만에 노랑통닭이 생각나더라구요. 메뉴는 후라이드반 깐풍반(뼈닭)입니당. 노랑통닭은 배달료를 따로 안받더라구요. 오랜만에 시켜서 몰랐네요 ㅋㅋ 구성품은...,전날 저녁부터 일어났던 치킨에 대한 충동을, 토요일 밤에는 가까스로 억누를 수 있었지만 다음날까지 이어지니 좀처럼 참기가 힘들었다. 그래서 차례 차례 근처의 치킨집(및 닭강정집)을 둘러보는데, 확실히 학교 근처의...,안녕하세요 ㈜인장♬입니다 동아리가 끝나고 친구가 팀플 모임으로 노랑통닭에 있다고 해서 몰래 찾아갔습니다ㅎㅎ 아쉽게도 외관은 찍지 못했어요ㅠㅠ 아무튼! 노랑통닭 중앙대점은 흑석역에서 중앙대 오는 길목에...,흑석동에도 노랑통닭이 생겼어요 사실 생긴지 몇달 됐는데 요번에 첨 방문 ㅋㅋ 치킨만 판매하는게 아니고 감자, 치즈떡볶이 골뱅이 등 많이 판매하고있네요 여러명이 갔을때 치킨만 시키는것보다 이것저것 시켜먹을수...",25
2614,맥주창고,유흥주점,호프/맥주,기타 주점업,흑석동,37.508109007966105,126.961403970538,유흥주점호프 맥주기타 주점업,흑석동%20맥주창고,https://m.place.naver.com/restaurant/31040500,"맥주,호프",4.5,17.0,"흑석동 맥주창고에서 간단하게 맥주한잔!!! 퇴근하고 친구가 간단하게 한잔하자고해서 친구 동내가 흑석동이라 그쪽으로 이동~~ 요즘 간단하게 셀프로 가져다 맥주를 먹을 수 있는 맥주집이 대세죠?? 그래서 찾아간...,안녕하세요 :) 자주가던 맥주집을 코로나 이후로 오랜만에 방문했어요!! 사장님도 한 동안 영업을 안하시다 오픈했다고 하시면서 저희를 보고 반가워 해주셨어요(서로반갑) 흑석동 맥주창고 위치는 중앙대학교병원 바로...,안녕하세요 사실 몇 주 전에 갔지만 오늘 생각나서 쓰는 흑석동 맥주창고 후기입니다 ㅎㅎㅎ 얼마 전에 학교 시험기간이 끝났는데요 사실 맥주창고는 시험 전에 갔습니다 간지 한 3주는 된 것 같네요 ㅎㅎㅎ 제가 마신...,흑석동 술집 저렴한 가격에 세계맥주를 폭풍흡입 맥주창고- 안녕하세요. 끌리메 중앙대점입니다. 오늘은 흑석동 술집 하나 소개하려고 합니다. 저의 끌리메 중앙대점 식구들 간단하게 일끝나고 맥주한잔 하러...,칼스버그 공모전:: 세 번째 모임 벌써 세 번째 모임. 매일 모여 회의를 하다 보니 전체적인 큰 틀이 잡혔다. 활발한 브레인스토밍을 위해 진짜 칼스버그를 마시며 회의를 하기로-! 학교 앞 세계맥주 셀프전문점을 찾았다....",5
3450,Mr.꼼장어Miss쭈꾸미,일식/수산물,곰장어전문,한식 음식점업,흑석동,37.5084884311909,126.96254110389401,일식 수산물곰장어전문한식 음식점업,흑석동%20Mr.꼼장어Miss쭈꾸미,https://m.place.naver.com/restaurant/12880938,"해물,생선요리",4.64,18.0,"흑석동 중앙대 맛집 미스터꼼장어 미스쭈꾸미 얼마 전 처음으로 ! 꼼장어를 먹어보게 되었다.. ㄷㄷㄷㄷㄷ 걱정반 기대반으로 갔던 중앙대 꼼장어 집 ! 미스터꼼장어 미스쭈꾸미 여기는 15년 이상 운영하고 있는 곳이라고...,금요일! 꼼장어 먹기로 했어요. 가는 길이에요. 우측에 꼼장어쭈꾸미 간판 보이시나요~? 원조 꼼장어쭈구미집에 왔습니다! 가게이름이 아주 직관적이네요.겉에만 봐도 꽤나 오래된 느낌이죠~! 꼼장어가 몸에 이렇게...,1차로 마포최대포 숯불갈매기돼지갈비 여기서! 먹고! 2차로 어디로 왔냐면! 바로 여기로 왔어요!!ㅎㅎ 서울 흑석동 쭈꾸미 맛집 흑석동 중앙대 맛집 원조미스터 꼼장어쭈꾸미 꼼장어 쭈꾸미를 먹으러 오다니! 선생님...,누구든 그렇겠지만, 본인 역시 아직 먹어보지 못한 음식들이 많다. 이를테면 조개구이...닭발 같은 것들. 한번쯤 먹어봄직한데 어쩌다보니 아직 못먹은 채 지내온 그들. 꼼장어도 그중 하나인 셈이다. 장어라면 한번...,흑석동맛집 추천해봐요~! 미스터꼼장어미스쭈꾸미~! 안녕하세요~! 월요일이 시작될거 같은데요 벌써부터 긴장이 되는데요ㅠ.ㅠ 오늘의 맛집소개로 월요일을 시작해봐야 겠네요! 오늘은 흑석동맛집 추천해볼께용!...,모두들 즐거운 주말 보내시고 계신가요?ㅎ 오늘은 아침부터 비가 주륵주륵 오네요..ㅠ 비가 오니 생각나는 음식은 파전에 막걸리, 따뜻한 국물도 있지만 오늘의 강추 메뉴는 ♥꼼장어&쭈꾸미♥ 15년동안 그 자리를 지키고...,꿀꿀한 날씨에 딱 어울리는 최고의 안주 불에 지글지글 구워먹는거 아니겠습니까~? 흐흐 벌써 15년째 전통을 이어오고 있는 흑석동 중앙대학교 정문에 위치한 국립현충원 맛집 미스터꼼장어미스쭈꾸미 *영업시간 오후...,흑석동맛집 마스터꼼장어미스쭈꾸미를 소개해드릴게요. 여기가 바로 미스터꼼장어미스쭈꾸미예요. 이름부터 넘나 귀엽고 꼼장어 맛있기로 소문난 곳인데요. 외관부터 전통있는 집의 포스가 팍팍 느껴지죠? 이 집은...,중앙대근처에 계신 회사원과 학생들에게 꿀 소식!!! 바로 바로!! 저렴하고 푸짐한 안주가 가~~~~득한 '미스터꼼장어미스쭈꾸미'를 소개합니당!!! 15년 전통을 자랑하는‘미스터꼼장어미스쭈꾸미’는 중앙대맛집추천...,일년전 여친이랑 꼼장어 먹었던 집 오랜만에 다시 방문했다 엄청 오래된집 8년전부터 가끔 갔었다 딱봐도 오래되 보이는 간판 안에는 협소한편 회식자리로는 어려울수 있다 메뉴판 무조건 메뉴는 꼼장어다 우리는...",16
6254,가춘,제과제빵떡케익,제과점,제과점업,상도1동,37.49692926908371,126.95349547456999,제과제빵떡케익제과점제과점업,상도1동%20가춘,https://m.place.naver.com/restaurant/1123429741,베이커리,4.54,369.0,"상도곱창 바로 옆에 있는 #빵집 #가춘 딱봐도 #맛집 느낌이길래 상도사는 친구에게 물어보니 역시나 유명한 곳 맞단다ㅋㅋ 참새가 방앗간 못지나치듯 빵순이 홀려 들어감,, 100% 동물성 생크림으로 만든 #딸기케이크 저게...,우연히 이웃님 포스팅에서 봤던 숭실대입구역 빵집 가춘. 맨날 왔다갔다하는데도 못봤던지라 너무 궁금했던 빵집인데 드디어 다녀왔어요! 숭실대입구역 3번출구에서 1분 거리에요. 버스정류장 있는데 거기 옆쪽 건물에...,오늘 병원 다녀오는 길에 샐러드와 먹으려고 가춘에 홀리듯이 들어감 ㅋㅋ 소금빵이 신메뉴로 나왔다구 함. 그리고 저녁에 가면 마감세일이라 조금이라도 더 저렴하게 구매가 가능하다 소금빵 1800원 버터향이 가득한...,숭실대입구 빵집 가춘 오늘 퇴근하는 길 좋아하는 빵집 가춘에 들렸다 왔어요~~ 버스 정류장 바로 앞이라 종종 들리곤 합니다. 길 건너엔 토모니 베이커리 있는데 길 건너기 싫어 가춘을 더 많이 가요 ㅎㅎ 게으름..ㅡㅡ;;;...,간만에 햇빛이 따뜻했던 날 아부지랑 달마사에 갔당 처음 가보는 낯선동네?지역?이었당~ 그래서 가는길에 주위 빵집을 서치해보았당ㅋㅋ 이제 빵집 찾는건 거의 습관?이 되어버렸당 머스트두! 를 생각하지 않아도 알아서...,건강하고 맛있는 빵집 가춘 여기서 버스를 자주 타는데 카페같은 분위기의 작은 빵집이라 눈에 잘 안 띄었어요. 그러다 우연히 빵집임을 알고 들려서 사 먹었는데... 오오...정말 확 느껴지더라는. 건강하고 제대로 만든...,일단 위에 스티커 붙었구요오 #상도동빵집 #상도동베이커리 #숭실대빵집 내가 가본 베이커리 중 탑오브탑이다 우리 동네에 빵 맛집 생겨서 너무 조아 ㅠ0ㅠ 몇 십번도 넘게 갔지만 이제서야 자발적인 블로그 포스팅을...,#숭실대빵집 숭실대에서 유명한 빵집, #가춘 갈때마다 열심히 빵 만들고 계시는데 엄청 바빠보인다. 자그마한 매장이지만 안엔 건강하고 맛있는 빵들이 가득. 딱 봐도 담백할 것 같은 비주얼.. 오늘은 안먹어본 빵으로...,숭실대입구역 근처에 있는 작은 빵집 ‘가춘’ 후기입니당! 왔다갔다 하면서 가보고...,빵 맛있는 곳 찾았어요!!! 숭실대앞 가춘 숭실대 정문왼쪽~ 빵 맛있다는 소문은 들어 알고 있었는데 드뎌 오늘 가봅니다!!! 아담한 매장에 없는거 없이 빵 종류가 완전 많아요 페스츄리 곰보빵 스콘 피자빵 앙버터...",66
7129,BHC치킨,닭/오리요리,후라이드/양념치킨,치킨 전문점,상도1동,37.494927740121,126.957436230114,닭 오리요리후라이드 양념치킨치킨 전문점,상도1동%20BHC치킨,https://m.place.naver.com/restaurant/37413677,"치킨,닭강정",4.47,195.0,"bhc 포테킹 후라이드 신메뉴 가격 요기요앱에서 할인 중 ! @bhc 일요일은 거의 저녁에 배달로 시켜서 모여서 다같이 먹는 경우가 많아요~ 그래서 이번주는 새로 나온 신메뉴를 먹어보기로 했어요! 그것은 바로 하도 요즘...,안녕하세요~~ 회장입니다!! 오늘은 #식품언박싱 #배달음식 #양념반후라이드반 #BHC #치킨배달 #배달음식추천 #배달음식 #배달 #치킨 #꼬꼬닭 포스팅 입니다~~ 치킨을 매우 사랑하는 저는~~ 이번주말에도 참지못하고ㅎㅎ...,BHC 상도점 영업시간 매일 12:00 - 24:00 휴무일은 매장으로 확인 뿌링클처돌이,, 오랜만에 뿌링클을 배달시켜 먹었어요 배달의 민족에서 BHC 상도점으로 주문했습니다ㅎㅎ 내사랑 뿌링클 윙 주문 (가격은 18,000원) 주말...,#펍스맛감자 #맛감자 갑자기 맛감자가 먹고 싶어서 2kg짜리로 주문 해버렸따 나는 에프에 돌려먹었는데 사 먹는 맛이랑 똑같았다. 에어프라이어에 210도에 30분 정도 돌려먹었다. (Sk매직 올인원 멀티 복합오븐 기준) #치킨...,요기요 오늘의 할인 BHC 4천원 할인 어맛! 이건 사먹어야 해.. *배달의 민족에선 할인 안하고 요기요에서만 하는 할인이벤트인 것 같다! BHC는 맛초킹이지!! (뿌링클 그냥 그래하는 사람..) 맛초킹 가격은 17,000원 상도점은...,주말입니다 친구도 놀러왔고 치킨이 너무너무~먹고싶어서 주문해버렸아욤ㅎㅎ #최애치킨 #bhc뿌링클 입니다!ㅎㅎ 보통은 #뿌링클순살 을 먹는데 오늘은 #뿌링클스틱 으로 주문 뿌링클스틱+치즈볼 24,000원 배달료 2,000원...,화요일이 밝았어요 ㅎㅎ 저희는 어제저녁에 BHC뿌링클콤보를 먹었어요 승아주니가 뿌링클을 처음접한건 저번주가 첨이였는데여 지난주에 세번먹고 어제두 먹었네용 지난주에 친구아들이 놀러와있었는데 일하느라...,고3 나이에 아직도 성장기를 외치는 딸내미와 그만 크라며 말리는 엄마. 오늘도 독서실에서 12시에 픽업해온 딸래미는 '치킨'을 외칩니다. 하루종일 시달렸을 딸내미가 안쓰러워 또 져주기로~ 일단 먹고싶은건 먹고 보기로....,상도동 맛집을 찾으신다면 전 과감히 치맥을 추천드리고 싶습니다 ㅎㅎ 치맥은 언제나 진리이자 빛이오~~우리에게 희망을 주는 말씀일지니! 상도동 맛집 중에 BHC를 소개해드리는 이유! 전...BHC 같은 많은...",9
9083,랭스터디카페,커피점/카페,커피전문점/카페/다방,비알콜 음료점업,상도1동,37.49692926908371,126.95349547456999,커피점 카페커피전문점 카페 다방비알콜 음료점업,상도1동%20랭스터디카페,https://m.place.naver.com/restaurant/1612441699,장소대여,4.57,47.0,"숭실대 스터디카페 공부하는 랭스터디카페 굿 사람들이 많이 왕래하는 곳인 숭실대 바로 앞에 핫플레이스 공부하는카페가 생겼네요 작년에 여러번 이용했던 건대본점과 세종대점, 한양대점 천안점에 이어서 5번째로...,중요한 자격증 시험을 앞두고, 이용하려는 스터디카페가 공사중이어서, 근처에 있던 랭스터디 스터디카페에 방문했어요! 랭스터디카페는 숭실대입구역 3번출구 인근에 위치합니다! 예전에 동네에 스터디카페가 아예...,안녕 오늘은 얼마 전 <싱어게인>에도 나오셔서 정말 반가웠던 저희 학교 선배님덜! 개인적으로 자기 전에 듣기 정말 좋은 노래 너드 커넥션의 <좋은 밤 좋은 꿈> 들고 왔습니다 이번에 학교에서 하는 온라인 공연을...,#카페 #커피 #스터디카페 #공부 안녕하세요~ 오늘은 오랜만에 공부도 하고 준비할 일들이 생겨서 스터디 카페에 왔어요! 정말 오랜만이에요 스터디카페라니 입구 랭스터디카페에 다녀왔습니다 지점이 굉장히...,안녕하세요?~ 오랜만에 포스팅합니다. 요즘 이amy가 너무 바쁘네요ㅠㅠ 그와중에도 기억에 남는 곳 열심히 촬영하여 포스팅할려고 오늘도 컴앞에 앉았지요^^ 숭실대역 앞에 바로 있는 스터디카페입니다. 랭 스터디카페...,역시 대학가 주변에는 조용하니 공부하기 좋은 카페들이 많아서 참 좋다. 집 주변에 빨리닫는 카페들 덕분에 늦게까지 하는 곳을 찾다가 발견한 랭스터디카페. 숭실대입구역 3번출구에서 조금만 내려가면 2층에 바로...,상도동 숭실대 근처에도 개인빵집이 새로 오픈했습니다!!!! 빵순이인 콩스타ㅎㅅㅎ 뚜레쥬르만 가고 이수역이나 다른곳 갈때마다 맛있는 빵집 발견하면 한봉다리씩 사들고오는데용ㅎㅎㅎ 드뎌 여기 근처에도 빵집이!!!!!...,숭실대 스터디카페 랭스터디카페를 아시나요?? 4월6일에 오픈한 따끈따끈한 스터디카페랍니다!!!! 이번달에오픈한만큼 시설이야 말할것없이 깨끗하고 좋다는 숭실대학교 정문 바로옆 백미터 이내에위치한!!...,숭실대 스터디카페 랭스터디카페에서 열공해보아요! 4월 6일 랭스터디카페 숭실대점이 오픈하였습니다~ 오픈한지 얼마되지 않아 시설도 깨끗하고 카페같은 분위기에서 편안하게 공부할 수 있을거 같아요^^ 스터디...,숭실대입구역 스터디카페 : 랭스터디카페 직접 다녀 온 후기 오늘은 사업 시작 전, 여러 문서작업 할 일이 있어서 숭실대입구역에 위치함 랭스터디 카페를 가봤다. 외관 부터 굉장히 깔끔한 인테리어! 내가 숭실대 다녔을...",61
9156,원할머니,한식,족발/보쌈전문,한식 음식점업,흑석동,37.507633571344,126.96472458349899,한식족발 보쌈전문한식 음식점업,흑석동%20원할머니,https://m.place.naver.com/restaurant/12765878,"족발,보쌈",4.35,138.0,"어렷을적 햇님달님 동화책에서 본듯한 원씨?할머니께서 웃으며 반겨주시는 그 곳! 원할머니도 손녀가 있으시겠지 친해지고싶다....연락주세요 저를 보쌈해주세요...ㅜㅜ는 루트 3..... 무리수군뇨 정문 근처에도 개성보쌈이...,여기도 새로 오픈한 지 얼마 안되서 지도에는 나와있지 않네요 흑석역 3번출구에서 나오셔서 쭉 걸어오시다보면 장터치킨 바로 옆에 이렇게 조그만 가게가 보이실 거에요 오픈한 지 얼마 안됬지만 저는 두 번이나...,코로나19 확진자가 연일 최고치를 갈아치우며 무섭게 늘어나고 있습니다. 제 포스팅을 보시는 모든 분들이 건강하길 바랍니다. 이러한 코로나의 확진자의 증가세는 이미 우리 삶을 참 많이 변화시키고 있는데요. 저 역시...,보쌈~~!! 보쌈이 왓으요!!♥♥ 꼬기꼬기!♥♥ 1975년부터 역사가 잇는 원할머니 보쌈!!!♥♥ 뿌잉~ 웨이팅자리도 바깥에 준비되어잇어용♥ 원할머니 보쌈이 왜 맛잇는지 알려주는 사진들이지용♥ 요로케 다양한 메뉴들!!!...,생긴지 오래된 곳인 것 같은데 그동안 갈 기회가 없다가 작년에 한번 갔던 원할머니보쌈 집 방문 후기다. 작년에는 코로나19가 더 극성을 부렸을 때인데, 그럼에도 밤늦은 시간 배고픔을 이기지 못하고 흑석 맛집에 방문해서...,세 줄 요약 1. 돈이 아깝지 않은 메뉴 구성 2. 챙겨주는 밑반찬들이 풍족하다. 3. 꿀 마늘소스와 떡 보쌈 중독이 각이다. 주문 내역 흑석 원할머니보쌈 메뉴 가격 도착 예상 시간 35분 도착 완료 시간 35분 노량진 흑석 배달음식...,오늘은 흑석역 원할머니보쌈(6월 배민데이 5000원 할인)을 포스팅해보겠자 위치는 흑석역 3번출구와 가깝네요~ 저는 배달의민족을 통해서 시켜먹었어요! 6월 매주 금요일에 배달의민족으로 주문하면 5000원이나...,퇴근후 식사하며 한잔 곁들이기 위해 매장 인근에 위치한 원할머니 보쌈에 갔습니다. 들어가기전에 밖에서 한번~ 내부 테이블 훑어봤는데 한 테이블 건너씩 손님들이 계셔서 괜찮겠다 싶어서 들어갔어요. 메뉴가 다양해서...,가끔 야밤에 배달음식도 시켜먹는데 귀찮아서 리뷰는 첨이야ㅎ 원할머니는 어릴적 부모님 따라다녔던 본점 기억이 너무 좋아서 체인점화된 후 분점은 참으로 실망스러웠음,, 그래서 한 10년만인가? 지인짜 오랜만에...,모유수유중에 정말 배달음식... 먹을께 없어요ㅠㅠ 다 밀가루,,, 튀김.. ㅠㅠ 얼마전에 전이 너무 먹고싶어서 집에서 남표니랑 파전을 해먹었다가 또 탈이나서 고생고생했다지요 ㅠㅠㅠ 위경련이 와서 너무 참을수없어...",16
9610,엉터리생고기숭실대점,한식,갈비/삼겹살,한식 음식점업,상도1동,37.4984688599681,126.952343061028,한식갈비 삼겹살한식 음식점업,상도1동%20엉터리생고기숭실대점,https://m.place.naver.com/restaurant/21033957,"육류,고기요리",4.12,71.0,"모처럼 고기를 먹고 싶은 생각이 들어서 숭실대 주변 고기집을 찾아봤습니다 주변에 엉터리생고기가 있더라구요. 그래서 찾아갔어요 이 글, 숙제 리뷰 아닙니다! 홍보,지원 전혀없는 순수한 후기에요 숭대 엉생 다녀온...,불금의 메뉴선택은 항상 진지하고 신중하다. 일주일의 스트레스를 날려줄 음식은 바로 생고기로 정했다. 숭실대 맛집 상도동 맛집 인 엉터리 생고기는 주인 아주머니도 친절 하시고 꽤 괜찮은 고기집으로 손꼽힌다. 우선...,엉터리생고기집은 체인점이 참 많은거같아요. 집 근처에도 엉터리생고기집이 있길래 처음으로 엉터리 생고기 체인점을 가보았습니다. 생삼겹살 2인분을 주문. 이곳도 된장찌개를 불판위에서 계속 끓이면서 먹을수있고...,#엉터리 생고기 # 숭실대맛집 #가족식사#7호선맛집 주일에 교회마치고 점심먹으러 고기 냉면 좋아하는 울딸램위해,안녕하세요 공공일이에요! 숭실대입구에 고기를 먹으러 간다면 제가 꼭 가는 곳이 있는데요, 유명하기도 하죠? 바로 엉터리 생고기 입니다! 엉터리 생고기는 여러 곳에 지점이 있을 정도로 유명한데요 맛도 그만큼...,이번에 새로 신장개업한 숭실대점 엉터리생고기 !!! 원래 숭실대바로옆에 있던곳인데 신장개업했다고해요 그래서 또 바로 고고해보았지요 ~ 숭실대학교 바로옆이라 학생들도 많이갈만한 곳! 모임장소로도 좋을거같아요...,안녕하세요! 학교생활에 바쁘다보니 오랜만에 쓰네요ㅠ 과제나 시험때문에 피곤해서 든든하게 먹고싶을때! 힘없어서 고기로 기운을 충전하고 싶을때! 그럴때 가끔 찾아가는 학교 근처 맛집입니다. 엉터리 생고기 숭실대점...,[상도동 맛집] 엉터리 생고기 숭실대점 / 소한마리 엉터리 생고기 숭실대점 소고기 먹고 싶을 때 가는 곳 가격 적당하고 고기가 실망시키지 않는다 내 돈 주고 먹을 땐 가성비 충이라서 소고기 먹으러 갈때는 고기 질이...,안녕하세요. 어니입니다. 요즘 날이 점점 더워지고 있어요. 저는 겉옷을 입는 걸 좋아하지 않아서 요즘같이 겉옷 없이 옷 하나만 입고 나가도 되는 날씨는 너무 좋지만 미세먼지란... 하.. 맞아요. 미세먼지에는...,상도동 삼겹살 : 엉터리생고기 고기질이 남달라 오랜만에 직원끼리 회식 사실 뭐 회식이랄 거는 없고 그냥 고기나 먹고 집에 가자 해서 갔던 곳이에요 ㅎㅎ 요즘 먹는 게 왜 이렇게 좋은지 다시 살찔 건가 봐요 ㅠㅠ 먹어도...",14
10584,박서방네,한식,한식/백반/한정식,한식 음식점업,흑석동,37.5089270723566,126.961189040319,한식한식 백반 한정식한식 음식점업,흑석동%20박서방네,https://m.place.naver.com/restaurant/33622519,한식,4.05,99.0,"잇님들 전 학원 다니느라 너무 바쁘답니다.. 답글이 늦어도 이해 부탁드려요 잇님들은 휴가 가시나용 ? 요즘 휴가철이던데 전 당분간 휴가 못 갈 것 같아요 더위 조심 하시고 오늘 하루도 화이팅이에요 ♡ 학원 다니기...,안녕하세요^^ 흑석뉴타운전문 중앙공인입니다. 오늘 소개 해드릴 물건은 흑석뉴타운의 대장 ""아크로리버하임 1,073세대 바로 앞에 있는 꼬마건물 투자 입니다. 토지면적:72㎡(21.78평) 연면적:100.92㎡ 지1층:14.71...,흑석동 근처에서 밥집을 찾다가 남자친구가 가봤는데 맛있었다고 한 박서방네가 열려있어서 저는 처음으로 방문해 보았어요 흑석역 부근의 중대병원 근처에 있는 밥집입니다 들어가서 자리를 잡으니 한쪽에 큰 메뉴판이...,#박서방네 #흑석동 곱창전골 박서방네 곱창전골 갈비찜 그냥 쏘쏘 곱창전골에 대한 내기대치가 높은거 같음,흑석동 한식맛집 '박서방네' 다녀왔어요!!아침 일찍 시험이라 전날 불꽃 밤샘 스터디를 했어요ㅜㅜ 핫식스와 커피를 마시며ㅠㅠ (아무튼 지난 시험은 잊고!!) 아침일찍 시험이 끝나고 한주동안 고생했다며 학교앞 박서방네;)...,박서방네 매운갈비찜 무언가 2% 부족한 느낌- 안녕하세요. 각사마에요. 흑석동에 매운갈비찜 전문점이 있다고 하여 갈비하면 환장하는 각사마!! 바로 달려가보았습니다. 생긴지는 그래도 조금 되었다고 하더군요...-.,- 왜...,안녕하세요~ #오빠대리 #15775888 #정희영의쒼나는하루 입니다. 동생들과 이런저런 이야기를 나누려고 #흑석동맛집 #흑석동전골집 #박서방네 를 찾았습니다. 예전엔 사람 엄청 많았는데 요즘은 어디든 사람이 없습니다. 혹시...",7
11727,가마로강정,닭/오리요리,후라이드/양념치킨,치킨 전문점,상도1동,37.502310740455606,126.948670227049,닭 오리요리후라이드 양념치킨치킨 전문점,상도1동%20가마로강정,https://m.place.naver.com/restaurant/36215164,"치킨,닭강정",4.6,319.0,"가마로강정 3가지강정세트 오랜만에 가마로강정을 방문해보았다. 이번에는 숭실대 근처에 있는 숭실대역점을 방문해보았다. 테이크아웃만해서 먹어봤는데 이제는 배달도 되나보다. 완전 편해보인다. 최근에...,20171128 친구랑 렌즈사러 안경집갔다가 포장마차 닭강정 발견! 먹고싶쟈냐요? 현금없어서ㅠ.ㅠ 친구님보고 사줘ㅋㅋ그랬는대 둘다현금이없던거있죠ㅠㅠ 그러다가 닭강정은 먹어야겠구 가마로강정을 가자~로 타협!...,즐거운 주말을 앞두었지만 몇일 전 술을 너무 많이 마신탓에... 구래도 치키니는 먹고싶으니까 ㅋㅋ 먹기로 합시다 오랜만에 간 가마로강정.. 뭐가 많이 생겼네요 예전에는 매콤이 달콤이만 먹었었는데ㅋㅋ 친구가 좋아하는...,아침부터 계속 생각났던 닭강정, 그래서 오늘 저녁은 치킨이닭 코로나때문에 매장 안에서는 취식이 불가해서 메뉴를 포장해와서 집에서 먹기로 했다. 가마로강정 숭실대역점 가마로강정 가격 & 메뉴 나는 매콤+달콤...,가마로강정 숭실대역점 3가지강정세트 주기적으로 먹어줘도 질리지 않는 치킨! 그중 오늘은 가마로강정을 먹게되었는데요 숭실대역점에 있는 가마로강정에서 3가지강정세트를 먹어보았습니다 숭실대학교 정문?...,가마로강정..맥주안주로 미쳤습니다.. 혼자 먹으려면 8,000원 중 사이즈면 딱! 오늘도 한 끼 때워야하는데, 뭘 먹을까 고민하다가 닭강정으로 결정 숭실대입구역 3번출구로 나와서 조금 걸으면 나온다. 가마로강정 내부에...,퇴근 후 집에 가려다가 우영이 실험실에서 급 치킨파티 우엉이가 주문하고 회사에서 오는길에 내가 받아서 왔다 가마로강정 숭실대역점 사장님도 직원분도 완전 친절하시다!! 요새 이상한 사람 너무 많아서 조금만 정상인...,블로거 초이의 허가 없이 내용의 일부 또는 전부를 무단 전재ㆍ복사ㆍ배포 시 법적 조치를 받을 수 있습니다. 주말엔 역시 치킨이죠! 가마로강정 신메뉴출시되었다는 소식을 듣고 언제한번 가야지 하다가 친구만나러...,안녕하세요 수달입니다 오늘은 학교에서 늦게 끝나서 집으로 가던 도중 출출함을 이기지 못해 (확실 ?!) ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 언젠가는 한번 먹어야지 먹어야지 하던 가마로강정에 갔어요 ㅋㅋㅋㅋㅋㅋㅋ 근데 가게 내부가...,반반반치킨 3가지강정세트 가마로강정 숭실대역점 다녀옴 조카가 좋아하는 가마로강정 체인점인데요 오늘은 가까운 숭실대역점에 다녀왔어요 그런데~ 어맛~ 반반치킨도 아니고 반반반치킨? 무려 한번에 3가지강정세트로...",14
