곡 세부 장르 리스트,발매일,앨범 명,앨범 ID,아티스트 ID 리스트,곡 제목,곡 장르 리스트,아티스트 리스트,곡 ID,대분류str,index,tags
"['GN0105', 'GN1501']",20131128,러브포텐 - 순정의 시대 OST Part.2,2218291,[669975],가슴이 말해도,"['GN1500', 'GN0100']",['김보아'],151270,GN1500 GN0100,151270.0,슬픔 밤 이별 새벽바람에날려 eone 너의일기장 이원 작곡 작사기분전환 설렘 사랑힐링 휴식 기분전환기분전환 설렘 사랑보컬 보컬리스트슬픔 이별 설렘 사랑
"['GN2503', 'GN0105', 'GN2501', 'GN0101', 'GN2505']",20191008,Kim ji yeon 1st Mini Album &#39;OVER AND OVER&#39;,10336485,[789499],종이달,"['GN2500', 'GN0100']",['Kei (김지연)'],111818,GN2500 GN0100,111818.0,명곡 꼭한번다시 띵곡 리슨 아이돌식후 사랑러블리즈 러블리즈전곡듣기 전곡듣기 전곡전곡재생 전곡듣기 댄스 아이돌 발라드숨은명곡 아이돌 수록곡 버스 발라드 미디엄템포 나른한 집 댄스
"['GN0105', 'GN1501', 'GN0101', 'GN1504']",20130927,스캔들 OST Part.5,2202951,[569214],그려본다,"['GN1500', 'GN0100']",['울랄라세션'],272342,GN1500 GN0100,272342.0,OST힙합 랩밤 발라드 추억 슬픔 첫사랑 사랑 이별 회상 새벽발라드슬픔 추억 이별 회상슬픔 추억 이별 회상발라드발라드솔로 요절 참여 추모 추모앨범 그룹 잊지않겠습니다 유작비오는날 슬픔 이별기분전환 드라이브감성 느낌있는 발라드 OST 드라마 드라마ost 선곡슬픔 추억 이별 회상슬픔 추억 이별 회상발라드발라드발라드OST슬픔 이별매장음악 까페홍단홍단힙합 랩발라드발라드슬픔 밤 이별 새벽비오는날 기분전환
['GN0101'],20121114,Re.Leemoonsae,2166835,[43],알 수 없는 인생 (Inst.),['GN0100'],['이문세'],62940,GN0100,62940.0,배경음악 하트시그널 하트시그널BGM 느낌있는 추천음악 감각적인 OST 하트시그널시즌2 bgm 감성적인
"['GN0105', 'GN0101']",20161221,보낼수 있을까,10024727,[763607],보낼수 있을까,['GN0100'],['풋풋'],253515,GN0100,253515.0,이별 추억 눈물 발라드잔잔한 발라드슬픔 이별이별 발라드 가을 밍블리 애절한슬픔 감성 이별 인디 발라드
['GN0101'],20160920,1Project-Take 3,2711622,"[978294, 978300, 992326, 992317]",자꾸 떠올라,['GN0100'],"['김현우', '이병욱', '이정국', '김동호']",50792,GN0100,50792.0,기분전환 카페 인디 발라드
"['GN0105', 'GN1501', 'GN0101', 'GN1504']",20131211,상속자들 OST 2,2220755,[437043],Story,"['GN1500', 'GN0100']",['박신혜'],568512,GN1500 GN0100,568512.0,미스터션샤인 OST 도깨비OST 드라마 기분전환 사랑 김은숙
"['GN0101', 'GN0103']",19980906,To Heaven,371259,[969],To Heaven,['GN0100'],['조성모'],264162,GN0100,264162.0,80년대 감성 90년대발라드 올드송 추억 휴식 90년대 옛날노래까페 설렘 사랑여름 명곡 ralalra 발라드추억회상 1990 아재 응답하라 발라드 댄스 복고 세대공감 30대 10대잔잔한 저녁 가을 발라드 버스 지하철 센치 노을 퇴근길 우울발라드슬픔 이별 오열 공허편지 러브레터 가을발라드새벽 추억 밤 회상발라드발라드가요사실상_친구_같은_편안함 태그는_이쯤에서_그만두죠 발라드가_많아서_미안해요 실시간차트에_대부분_없음 익숙한 아이돌노래는_거의_없어요 숨겨진_명곡도_있어요 혹시_알아요_인생곡을_찾을지감성 회상 추억 명곡 2000년대 90년대노래인기 과거 회상 추억 명곡 가요톱텐 향수 1990년대 에센셜 발라드겨울 감성 가을 새벽 새벽감성 가사가좋은노래 이별노래 이별후에 목소리추억 운동 회상발라드댄스아비찌발라드듀엣 솔로 1990년대 여자가수 추억 남가수 남자가수 여가수 그룹 발라드댄스종현아덕분에내평생이따뜻해 191218 171218 쫑디 푸른밤1990년대 추억 스테디셀러 국내 사랑 이별 발라드7080 여유 발라드 추억 명곡 여행 힐링 마음 잔잔한 차분히너의귀 발라드 발라 발라버려 구발라 덕지덕지80년대 1980년대 솔로 과거 발라드 댄스 1990년대 그룹 90년대발라드 1990년대 유투브 커버영상 페이스북 일소라 딩고 딩고뮤직 커버곡 일반인들의소름돋는라이브발라드발라드감성 감성 신나는드라이브 2000년초 신나는댄스슬픈댄스 90년대 드라이브 밤사 신나는힐링 휴식 추억 회상발라드아픔 눈물 슬픔 이별 사랑발라드비오는날 잔잔한추억 기분전환 회상추억에젖자 역시 90년대 아재감성 좋네힙합 90년대가요 발라드 인기가요 대중가요 90년대대중가요 90년대인기가요 90년대 락 댄스추억 회상발라드두성연습곡 두성마스터하자 3옥감성 발라드 새벽감성 피아노 감성음악 가요 음악추천발라드 추억 명곡 20대 2000년대 30대 회상가을감성 느낌있는 기분전환 발라드사랑발라드비오는날 감성 발라드 새벽 명곡 슬픔 2000년대 이별카페에서듣기좋은노래 카페 가을 중독성 커피 중독성있는노래 매장에서힙합 랩과거감성 아빠가좋아하는 아빠 과거 8090추억 기분전환 회상발라드기분전환발라드헬스 질주 운동 출근 매장 드라이브 조깅 트렌디 텐션 신나는비 발라드 슬픈노래 추억의노래 감성폭발 그립다아재 응답하라 추억 아옛날이여 아련한 첫사랑 타임머신 시간여행 감성폭팔 감성팔이추억 기분전환 회상추억 까페 회상발라드감성 탑골가요 카페 잔잔한 노래방에서 추억 나의애창곡 2000년대 90년대 발라드발라드잔잔한 추억 회상90년생 회상 추억 좋은노래 80년생 옛날노래nct nctdream 악동서울 런쥔슬픔 추억 이별 회상댄스발라드추억 드라이브 회상추억 기분전환 회상dj딘 락발라드발라드슬픔 감성 우울사랑추억 기분전환 회상기분전환 까페발라드슬픔 밤 이별 새벽숨은명곡 잔잔한 발라드댄스추억 회상슬픔 이별 잔잔한슬픔 기분전환 이별발라드발라드추억 회상감성 알앤비 추억 청춘 향수 노래방 90년대 록 발라드감성 회상 서정적인 추억 슬픈 가요 1990년대 센치한 발라드휴식 힐링 기분전환OST조성모매장음악 까페발라드발라드추억 회상발라드비오는날 힐링 휴식기분전환 가을발라드휴식 싸이월드BGM 추억여행 추억 여행 90년대음악 감성 싸이월드 90년대 9020추억 기분전환 회상추억 기분전환 회상발라드발라드세포 애절한 감동 눈물나는 연애 복고풍 기분전환 8090 90년대 레트로감성 8090음악 복고 감성복고 한성집노래 추억고속도로 휴일 감성 봄 사랑치유 힐링 발라드 소울 회상비오는날 슬픔 이별겨울 감성 매장음악 가을 발라드 새벽감성 잔잔한 사랑 추천해주고싶은노래 이별명곡 가요 Pop기분전환 설렘 사랑추억 1988 90년대노래 룰라 젝스키스 90년대 엄정화 유피힐링 휴식 추억 회상두근두근 취향저격 사랑노래 차칸남자 매력덩어리 탕탕 러브송 선덕선덕인피니트 블랙이들 쫑블리 성종슬픔 이별 잔잔한갬성 조쿠먼슬픔 추억 이별 회상안전운전 휴일 휴식 발라드 댄스 드라이브 감성 기분전환 신나는기분추억 기분전환 회상힐링 휴식발라드발라드발라드댄스휴식 카페 가을 발라드 잠안올때듣기좋은노래 매장 기분전환 가을에듣기좋은노래 파티 감성발라드감성 발라드모음 발라드 잠잘때 잠들기전 이별 밤발라드댄스추억 기분전환 회상발라드트로트발라드발라드댄스추억 회상겨울감성 발라드 황금기 노랫말을 여운 힐링 아날로그 90년대 ralalra 가요계느낌있는 밤 계절 발라드 남자 슬픈 가을 이별 잔잔 취향늦은밤 이별 감성 새벽신승훈 서태지와아이들 아날로그 김건모 8090잔잔한 추억 회상스트레스 기분전환슬픔 이별 잔잔한발라드슬픔 이별 설렘 사랑댄스휴식 힐링 운동노래방에서 취향저격노래 기분전환1990년대 시대별차트 국내차트비오는날 여름 밤 새벽 추억 슬픔 사랑 이별 회상 비슬픔 추억 이별 회상기분 아침 잔잔한 버스 새벽 그리움 전환 이별 추위 밤추억 기분전환 회상발라드추억 회상추억 회상OST힐링 추억 휴식 회상발라드발라드발라드슬픔 이별 잔잔한잔잔한 추억 회상휘성 목소리 아이유 이승철 고음 장범준 홍자 힘든시기 백지영 화요비댄스기분전환 40대추억 매장음악 회상발라드발라드후회 눈물 슬픔 이별여름 감성 추억 드라이브 여행 휴식 기분전환 드라이브할때신나는노래슬픔 이별90s 과거회상 라디오 추억 명곡들 00s 첫사랑 학창시절 공중전화 MP3추억 기분전환 회상연말 감성 밤 잔잔한 겨울 옛이야기 밤에발라드힐링 추억 휴식 회상잔잔한 밤 새벽잔잔한 추억 회상80년대 감성 8090 추억 옛날노래 기분전환 추억소환 90년대 옛날음악 발라드추억 가을 회상힐링 휴식 매장음악밤 새벽추억의 감성을자극하는곡 갬성갬성 한성집 복고슬픔 밤 이별 새벽비오는날 추억 회상슈가맨 발라드 추억 추억의발라드 2000년대 2000s 8090 옛날노래감성 회상 추억 슬픔 학창시절 사랑 30대 이별기분좋은 추억 드라이브 여행 기분전환 8090세대 학창시절 옛날감성 복고 혼자만의시간풋풋 가을감성곡 가을 발라드회상 추억 드라이브 애창곡 노래방 스트레스 강타잔잔한 추억 회상90년대 회상 TV 전율을 추억이 노래방에서 옛추억의 멜론을 르네상스 히트곡의발라드힐링 휴식 잔잔한발라드추억 기분전환 회상감성 가을 발라드휴식 추억 드라이브 여행 기분전환 사랑 90년대 스트레스댄스기분전환 설렘 사랑발라드추억 기분전환 회상발라드힐링 추억 휴식 회상산책 사랑 스트레스 편안한발라드발라드추억 회상추천곡 감성 아이돌 뉴이스트 발라드 황민현 민현 워너원 인디발라드발라드한국 헤비메탈 외로운 슬픈 이별 90년대 록추억 기분전환 회상추억 기분전환 회상겨울발라드추억비오는날 슬픔 이별발라드추억의 카페음악 휴식 발라드 감성 kpop슬픔 감성 발라드그리워 회상 추억 센치 잠못드는밤 이별스트레스 기분전환발라드발라드취항저격 레전드 발라드 귀정화 추억 명곡 유명한 기분전환 노래방 회상발라드발라드추억 기분전환 회상발라드차막힘 드라이브 국내여행 서울 부산 휴가발라드눈 겨울 추억 크리스마스 사랑맛집 화미담 양고기 일산추억 드라이브 회상노래방 가요 18번곡비슷한곡 느낌비슷 추억 비슷한느낌 번안곡 비슷발라드슬픔 추억 이별 회상밤 새벽남성보컬 발라드 김동률 하동균 감성적인 에릭남 소울발라드추억 기분전환 회상추억 회상발라드기분전환발라드발라드추억 클럽 회상산책 추억 여행 회상발라드발라드발라드댄스감성 밤 혼자 잔잔한 새벽 센치 조용한 가을발라드 보컬리스트 꿀성대 보컬 꿀보이스 귀호강발라드추억 기분전환 회상추억 90년대노래 감성 옛날감성 비 눈물 레퀴엠 우울 죽음 이별 비오는날듣기좋은노래발라드신나는노래 기분전환 발라드추억 기분전환 회상추억 스트레스 회상싸이월드배경음악발라드겨울 추억 회상발라드추억 기분전환 회상발라드 호소력 추억 슬픈 가창력 애절함 노래방 90년대1990년대 인기가요 추억 드라이브 기분전환 애창곡 2000년대 노래방 스트레스추억 회상잔잔한 추억 회상비오는날 힐링 휴식잔잔한 감성 발라드 추억 명곡 사랑발라드댄스발라드90년대말 2000년데초 음색깡패들발라드발라드익숙한 노래방에추억 기분전환 회상힐링 휴식 추억 회상추억 기분전환 회상1990년대 시대별차트 국내차트발라드추억 회상비오는날 감성 명품 발라드 추억 슬픔 휴식 이별 회상 ralalra발라드추천 발라드스트레스 운동힐링 휴식 추억 회상발라드발라드kpop 후회 기다림 가을 발라드 추억 슬픔 일상 이별 사랑힐링 휴식 기분전환발라드잔잔한음악 겨울 감성 발라드발라드가요 발라드추억 스트레스 회상힐링 휴식 추억 회상겨울 눈오는날 눈 추억 크리스마스 90년대겨울 추억 art 양준일 애즈원 온라인탑골공원 기분전환 슈가맨3 리베카 레트로슬픔 감성 가요 발라드감성 밤 발라드 추억 명곡 발라드추천 기분전환 사랑 이별숨겨진_명곡들 90년대 명곡 청소년추억 사랑 설렘 회상힐링 휴식 추억 회상발라드휴식 카페 발라드 매력 고음 보컬 감성 힐링힐링 휴식 추억 회상기분전환 까페감성 가을 감정 늦가을 쌀쌀한 계절감홍대 잔잔한 운전 발라드 중독 까페 추위 인기 음색깡패옛날노래힐링 추억 휴식 회상비오는날 잔잔한잔잔한 추억 회상추억 회상귀르가즘 달달추억 회상2000년대초반 90년대 명곡들 발라드밤 새벽발라드발라드추억회상 옛날 노래방추천곡 옛날발라드 추억 추억의노래 노래방애창곡 노래방 회식 옛날노래이별 추억 슬픔 회상발라드발라드잔잔한 밤 새벽예전노래발라드기분전환 잔잔한새벽 추억 밤 회상발라드추억회상 휴식이필요할때발라드슈가맨 가요 추억 명곡 워크맨 90년발라드슬픔 밤 이별 새벽힐링 추억 휴식 회상기분전환 설렘 사랑기분전환추억 회상가을 1990년대발라드 발라드슬픔 밤 이별 새벽발라드발라드비오는날 슬픔 이별드라이브팝발라드추억 기분전환 회상스트레스 기분전환발라드댄스비오는날 잔잔한 가을 카페 새벽 추억 노랫말을든는다 사랑 ralalra 감성발라드추억 학창 회상가사가좋은노래 가사새벽 추억 밤 회상발라드발라드한국노래 4050 촌스럽지않은 90년대노래 3040 90년대 옛날노래 5060발라드공연 콘서트힙합 뉴욕 발라드 추억 감성 개취울고싶을때 슬픈발라드 늦은밤 슬픈노래 눈물나는 눈물주의 혼자있을때추억 가을 회상추억 회상가을 발라드댄스힐링 휴식 기분전환감성 발라드 인기가요 90년대인기가요 흥얼흥얼 추억의노래 90년대노래발라드발라드발라드발라드슬픔 추억 이별 회상발라드겨울 추억 회상발라드추억 가을 회상발라드노래방추천곡 남자 음역 남자보컬 남자_노래방 노래방 발라드추천곡추억 사랑 설렘 회상발라드추억 드라이브 회상방안에서 눈물 혼자 내노래같은 추억 공감 가사 감성 사랑 이별감성 발라드 90년대노래 2000년대 냉동인간 90년대 옛날노래추억 회상휴식 잔잔한 추억 20대 힐링 학창시절 30대 회상 발라드90s 겨울 감성 겨울감성 90년대발라드 발라드 잔잔한 혼자있을때 기분전환 90년대감성 가을 가을밤 우울 추억 공부 음색 독서 커피 발라드추억 회상힐링 휴식 잔잔한비오는날 비 번개 소나기 먹구름 천둥 흠뻑 장마발라드가을노래 추억의잔잔한발라드비오는날 이별 노래 슬픈추억 사랑 설렘 회상회상 추억 눈물겨운노래 그리움 그립다 그리움의노래 헤어짐 이별 눈물나는노래 눈물겹다댄스댄스잔잔한 휠링 감성자극 발라드 추억 명곡 성인가요 서정적까페 운동가사로듣는 요즘얘들 옛날노래 영화노래이별하는 위로해줄 마음을 사랑에잔잔한 밤 새벽댄스힐링 휴식 매장음악아련 회상 추억 명곡 고음 애절한 향수 노래방 90년대 발라드찬바람 따듯한 달달한 추운 겨울 포근한 러브송 쌀쌀한 달콤한 편안한우산 비절절한 명곡 혼자 발라드발라드추억 기분전환 회상옛날 춐춐 감성힐링 추억 휴식 회상발라드추억 기분전환 회상발라드추억 회상발라드 조성모 전설 추억 OST 가요톱텐 회상발라드댄스힐링 휴식 추억 회상추억 기분전환 회상추억회상 2030 발라드추억 매장음악 회상잔잔한 추억 회상발라드 추억 좋은노래 슬픈 옛날 이별추억 스트레스 회상비오는날 추억 회상국내드라마 슬기로운의사생활 1990년대 OST 추억감성 2000년대 기분전환 메디컬드라마댄스슬픔 이별 설렘 사랑잔잔한 추억 회상더크로스 양준일 추억 돈크라이 마로니에 진주 y 유재석 조이디 칵테일사랑발라드겨울 감성 아련 발라드발라드토토가추억회상발라드추억 기분전환 회상발라드힐링 휴식 설렘 사랑발라드슬픔 추억 이별 회상비 카페 발라드 감각적인 추억 위로 주말 이별 우울쓸쓸 센치 발라드추억 회상여행 스트레스 산책댄스회상 추억 90년대 발라드 그리움추억 기분전환 회상발라드매장음악야근 풀야근 별밤지기 밤과음악사이힐링 휴식 잔잔한짝사랑 가을밤 우울 추억 보컬 쓸쓸한 바람 감성 이별 취향댄스추억 기분전환 회상비오는날 밤 새벽발라드옮기는거임7댄스발라드발라드감성 발라드 추억 드라이브 노래 기분전환 2000년대 90년대겨울 잔잔한감성발라드 감성팝탑골공원 퇴근길 드라이브아련_돋는_노래 추억발라드술 겨울 잔잔한 발라드 슬픔 잠안올때 이별 힘내 새벽발라드 조성모 레전드 명곡 사랑 이별 전문가
"['GN0105', 'GN1501', 'GN0101', 'GN1504']",20181202,하나뿐인 내편 OST Part.16,10228130,[969],매일 사랑 매일 이별 매일 그리움,"['GN1500', 'GN0100']",['조성모'],291277,GN1500 GN0100,291277.0,가을 주말 발라드 잔잔한 OST bgm 드라마 기분전환감성 눈물 OST 그리움 슬픔 드라마 이별 헤어짐발라드그때그장면 감성 OST 드라마 기억의공유12월
"['GN0105', 'GN1501', 'GN0101', 'GN1504']",20150314,칠전팔기 구해라 OST Part.10,2309083,[710006],길#거짓말,"['GN1500', 'GN0100']",['헨리 (HENRY)'],280882,GN1500 GN0100,280882.0,힘 위로 공감 우울OST내가좋아하는거 그냥들려주고싶은 노래 감성 노래추천 너에게추억 스트레스 회상기분전환 RNBSOUL 음색깡패 헨리힐링 휴식 매장음악발라드드라마 OST 웹드라마발라드피노키오 감성 LIAR 댄스 기분전환 사랑 거짓말 스트레스 이별 신나는비오는날 설렘 사랑끌림 감성 내취향
