곡 세부 장르 리스트,발매일,앨범 명,앨범 ID,아티스트 ID 리스트,곡 제목,곡 장르 리스트,아티스트 리스트,곡 ID,대분류str
['GN0101'],20130315,Back To Black,2178260,[643551],Love Again (Feat. 에일리),['GN0100'],['2BIC(투빅)'],112762,GN0100
['GN0101'],20120722,Only One,2138075,[2165],Only One (Inst.),['GN0100'],['보아 (BoA)'],151918,GN0100
['GN0101'],20030312,His Ballad Ⅱ,30708,[26],승리,['GN0100'],['이승환'],259924,GN0100
"['GN0104', 'GN0101']",20090915,Gift (Part.1),663561,[1191],사랑한 후에,['GN0100'],['박효신'],454017,GN0100
['GN0101'],20080610,Remind,383155,[1714],나에게 온다,['GN0100'],['옥주현'],482940,GN0100
"['GN0104', 'GN0101']",20090513,I Miss You,561954,[51893],I Miss You,['GN0100'],['테이'],332267,GN0100
"['GN0104', 'GN1501']",20031101,KBS드라마 모음집 일상2,537252,[3632],비가 (비단향꽃무),"['GN1500', 'GN0100']",['우승하'],257873,GN1500 GN0100
['GN0101'],20180110,피아노로 만나는 최신 감성 K POP 가요 2017 Best of Best Edition,10126743,[1459271],이런 엔딩,['GN0100'],['Cepa'],48488,GN0100
"['GN0501', 'GN0101', 'GN0506', 'GN0509']",20180403,우리의 시간,10153764,[419000],우리의 시간,"['GN0500', 'GN0100']",['Met'],115371,GN0500 GN0100
"['GN0105', 'GN0101']",20140129,지아 정규 3집 리패키지 (나 이런 여자예요),2229788,[227595],"나 이런 여자예요 (With 예지, 체스카 Of 피에스타)",['GN0100'],['지아'],705817,GN0100
"['GN0105', 'GN0101']",20130924,나란놈이란,2201988,[1142],나란놈이란,['GN0100'],['임창정'],95928,GN0100
"['GN0105', 'GN0101']",20140414,벚꽃이 지는 밤에,2251055,[770678],벚꽃이 지는 밤에,['GN0100'],['머스트'],118557,GN0100
"['GN0105', 'GN1501', 'GN0101', 'GN1504']",20181025,끝까지 사랑 OST Part.20,10215777,[661811],우리의 순간 (This moment),"['GN1500', 'GN0100']",['지세희'],307583,GN1500 GN0100
['GN0101'],20100928,슈퍼스타K 2,1029852,[1118],잊지말아요,['GN0100'],['백지영'],364869,GN0100
"['GN0105', 'GN0101']",20150814,너란 바람이 불어,2334828,[874201],너란 바람이 불어 (Feat. 리카),['GN0100'],['성훈'],107060,GN0100
"['GN0105', 'GN0101']",20130523,Love Is Lovely But..,2186140,[288067],나의 그 사람 (Vocal 강현준),['GN0100'],['러블리벗 (Lovelybut)'],518032,GN0100
['GN0101'],20120516,거짓말을 했다,2124090,[425521],미친사랑 (Feat. 가비앤제이),['GN0100'],['써니사이드'],360809,GN0100
"['GN0105', 'GN1501', 'GN0101', 'GN1504']",20160914,W OST,2711152,[45995],기억,"['GN1500', 'GN0100']",['KCM'],416355,GN1500 GN0100
"['GN0105', 'GN0801']",20160316,안치환 앤솔로지 - Complete Myself,2673785,[855],내가 만일,"['GN0100', 'GN0800']",['안치환'],438434,GN0100 GN0800
"['GN0105', 'GN1501', 'GN0101', 'GN1504']",20120919,골든타임 OST,2150728,[693951],"해주고 싶은 말 (Feat. MC진리, Zeenan)","['GN1500', 'GN0100']",['멜로디데이 (MelodyDay)'],482402,GN1500 GN0100
"['GN0501', 'GN0101', 'GN0506', 'GN0509']",20190301,나의 오늘,10255964,[1385316],밤하늘 위로,"['GN0500', 'GN0100']",['너와'],305055,GN0500 GN0100
['GN0101'],20080415,I AM...,376067,[214784],If,['GN0100'],['이수 (엠씨더맥스)'],263361,GN0100
"['GN0101', 'GN0103']",19921015,윤상2 - Part I,356372,[38],나의 꿈속에서,['GN0100'],['윤상'],306854,GN0100
"['GN2502', 'GN0105', 'GN2501', 'GN0101', 'GN2505']",20160509,Write..,2683592,[672263],향기,"['GN2500', 'GN0100']",['남우현'],588174,GN2500 GN0100
"['GN0104', 'GN0101']",20080925,To The Heart,398122,[231538],사랑도 이별도,['GN0100'],['가비 퀸즈'],448654,GN0100
['GN0101'],20140826,SPARK,2277342,[2267],떠나버려,['GN0100'],['왁스'],511007,GN0100
"['GN2503', 'GN2501', 'GN0101', 'GN2505']",20170226,Lovelyz 2nd Album `R U Ready?`,10041929,[789331],나의 연인 (Yoo Ji-Ae & Seo Ji-Soo),"['GN2500', 'GN0100']",['러블리즈'],113557,GN2500 GN0100
"['GN0105', 'GN0101']",20200205,우린 정말 사랑했었을까(prod.멜로틱),10383963,[2085257],우린 정말 사랑했었을까(prod.멜로틱),['GN0100'],['지예송'],29774,GN0100
"['GN0105', 'GN0101']",20150417,Fall in Memory,2314561,[30358],로미오 & 줄리엣,['GN0100'],['거미'],245338,GN0100
"['GN0105', 'GN0101']",20140430,Sonnet Blooms,2254209,[661773],매일 다른 눈물이,['GN0100'],['손승연'],688117,GN0100
"['GN0104', 'GN0601', 'GN0605']",20041109,A Kiss At The End Of Rainbow,43425,[161449],회상,"['GN0600', 'GN0100']",['모던 쥬스'],210168,GN0600 GN0100
['GN0101'],20061212,기억애 (디지털 컴필레이션),341152,[30358],What Can I Say,['GN0100'],['거미'],217665,GN0100
"['GN0105', 'GN1501']",20111222,꽃미남 라면가게 OST CD Part.2,2053029,[569973],말론,"['GN1500', 'GN0100']",['씨리얼'],508851,GN1500 GN0100
['GN0101'],20121210,첫사랑을 찾습니다,2169634,[3033],첫사랑을 찾습니다 (Inst.),['GN0100'],['서영은'],431435,GN0100
"['GN0105', 'GN0101']",20180630,Rain Rain Rain,10180529,[908],Rain Rain Rain,['GN0100'],['박기영'],614335,GN0100
"['GN0105', 'GN0101']",20130322,아니야,2179041,[203912],아니야,['GN0100'],['윤하 (YOUNHA)'],327730,GN0100
"['GN0105', 'GN0101']",20190812,Baby Million Miles (with Pianist 이수빈) - The Piano Project no.2,10316893,[221838],Baby Million Miles (with Pianist 이수빈),['GN0100'],['호란'],200367,GN0100
"['GN0101', 'GN0102']",20150305,Alone,2307384,[839274],어두워질 때까지,['GN0100'],['이재진'],489773,GN0100
['GN0101'],20150908,스치며 안녕,2638948,[723407],스치며 안녕 (Inst.),['GN0100'],['윤혜'],526240,GN0100
"['GN0104', 'GN0101']",20071119,지아의 컴필레이션 바이올린,360924,[227595],인형,['GN0100'],['지아'],258500,GN0100
"['GN0104', 'GN0101']",20071130,gavy queens new born,361419,[231538],Endless,['GN0100'],['가비 퀸즈'],449445,GN0100
"['GN0105', 'GN2505', 'GN2501', 'GN0101', 'GN2503']",20150803,REBOOT,2332752,[217764],사랑이 떠나려 할 때,"['GN2500', 'GN0100']",['원더걸스'],551447,GN2500 GN0100
"['GN0509', 'GN0105', 'GN0101', 'GN0506', 'GN0501']",20200225,ㅇㅇㅇ,10393895,[947099],문어의 꿈,"['GN0500', 'GN0100']",['안예은'],238828,GN0500 GN0100
"['GN0105', 'GN0101']",20170304,불후의 명곡 - 전설을 노래하다 (강인원 편),10043265,[150529],사랑해 사랑해,['GN0100'],['임정희'],410245,GN0100
"['GN0509', 'GN0105', 'GN0101', 'GN0506', 'GN0501']",20190603,미칠 것 같아 (Feat. 종두),10293095,[2646074],미칠 것 같아 (Feat. 종두),"['GN0500', 'GN0100']",['RODA'],310817,GN0500 GN0100
['GN0101'],19981001,이광조 베스트,4446,[900],가까이하기엔 너무 먼 당신,['GN0100'],['이광조'],677154,GN0100
"['GN0105', 'GN1501', 'GN0101', 'GN1504']",20121210,풀하우스 테이크2 OST,2169647,[629831],사랑 첫 느낌,"['GN1500', 'GN0100']",['에일리'],54994,GN1500 GN0100
"['GN0104', 'GN0101']",20001100,Remember,721,[6502],비처럼 음악처럼,['GN0100'],['김범수'],453270,GN0100
"['GN0104', 'GN0101']",20040517,Blood Type-A,34683,[4353],우리가 정말 헤어진 걸까,['GN0100'],['심현보'],465266,GN0100
"['GN0104', 'GN0101']",20080404,1st Kim Dong-Wook,375292,[174685],내눈물보다,['GN0100'],['김동욱'],1840,GN0100
['GN0101'],20070411,Something Like Beige Vol.1,349364,[222697],눈물인형,['GN0100'],['베이지'],87103,GN0100
"['GN0104', 'GN0101']",20071017,기억상자,359544,[14908],기억상자,['GN0100'],['린애'],250084,GN0100
"['GN0105', 'GN0101']",20110426,Simple Collection,1258153,[4353],심플하게 (Acustic Ver.),['GN0100'],['심현보'],680234,GN0100
['GN0101'],20100112,첫사랑이죠,765757,"[261143, 58979]",첫사랑이죠 (Inst.),['GN0100'],"['아이유', '나윤권']",631914,GN0100
"['GN0104', 'GN0101']",20061211,SAT With M,334501,[208192],"물고기, 내가 모르는 것",['GN0100'],['SAT & M'],359126,GN0100
"['GN0104', 'GN0101']",20030929,Natural,32783,[6225],춤추는 나무,['GN0100'],['이기찬'],183326,GN0100
"['GN0105', 'GN0101']",20191013,이해해,10337676,[870166],이해해,['GN0100'],['박다혜'],292274,GN0100
"['GN0104', 'GN0101']",20050202,My First,50294,[969],그대가 있어야...,['GN0100'],['조성모'],126745,GN0100
['GN0101'],19890720,주사위:너의 모습,309868,[5063],여기 홀로 남아,['GN0100'],['한상우'],162113,GN0100
"['GN2503', 'GN2501', 'GN0101', 'GN2505']",20121130,KARA SoloCollection,2168404,[408880],Lost (Inst.),"['GN2500', 'GN0100']",['니콜'],173171,GN2500 GN0100
"['GN0105', 'GN2505', 'GN2501', 'GN0101', 'GN2503']",20130101,I Got A Boy,2170744,[228069],낭만길 (Romantic St.),"['GN2500', 'GN0100']",['소녀시대 (GIRLS` GENERATION)'],478568,GN2500 GN0100
"['GN0509', 'GN0105', 'GN0101', 'GN0506', 'GN0501']",20190719,내가 잠에들면 깨우지마세요,10309037,[477040],내가 잠에들면 깨우지마세요,"['GN0500', 'GN0100']",['나인(디어클라우드)'],354298,GN0500 GN0100
"['GN0105', 'GN0101']",20130128,The 5th Album Vol.1 (실화),2173651,[100176],안녕 나야,['GN0100'],['포맨'],490468,GN0100
['GN0101'],20040520,성시경 Remake Album,34703,[3305],날 위한 이별,['GN0100'],['성시경'],241793,GN0100
"['GN0105', 'GN1501', 'GN0101', 'GN1504']",20151208,오 마이 비너스 OST Part.4,2655328,[197910],It`s Me,"['GN1500', 'GN0100']",['미(MIIII)'],536880,GN1500 GN0100
"['GN0104', 'GN0101']",20080620,지영선 베스트 앨범,386741,[4140],소원 (Remix),['GN0100'],['지영선'],59155,GN0100
"['GN0104', 'GN0101']",20080227,선물 (Single),368268,[161535],사랑은 되는 거라며,['GN0100'],['성제'],481382,GN0100
"['GN0105', 'GN0101']",20140521,좋은 사람,2257079,[613631],좋은 사람,['GN0100'],['루피나'],611373,GN0100
['GN0101'],20141125,Second Flow,2292114,[775702],가끔 (Sometimes) (Feat. 우이경),['GN0100'],['빅플로'],441414,GN0100
"['GN0105', 'GN0101']",20121116,그리워서 눈물이,2167170,[711742],그리워서 눈물이,['GN0100'],['유내익'],619461,GN0100
"['GN0105', 'GN1501', 'GN0101', 'GN1504']",20151221,오 마이 비너스 OST Part.6,2657839,[510537],그런 사람 (Man Ver.),"['GN1500', 'GN0100']",['신용재'],20701,GN1500 GN0100
"['GN0104', 'GN0101']",20030409,A Vocalist Of Warm Sensitivity,27229,[30591],Forever Love,['GN0100'],['고현욱'],133049,GN0100
"['GN0105', 'GN0101', 'GN1504', 'GN2503', 'GN1501', 'GN2501', 'GN2505']",20180301,추리의 여왕 시즌2 OST Part.1,10143128,[857996],사르르 (SARR),"['GN2500', 'GN1500', 'GN0100']",['효정 (오마이걸)'],133261,GN2500 GN1500 GN0100
"['GN1501', 'GN0101', 'GN1504']",20160628,대박 OST,2694131,[1037],시간이 멈추면,"['GN1500', 'GN0100']",['박완규'],414009,GN1500 GN0100
"['GN0101', 'GN0103']",19960100,그대 떠나가도,7048,[5973],너를 위한 나의 마음,['GN0100'],['조장혁'],390992,GN0100
"['GN0105', 'GN0101']",20180611,Worthwhile,10174654,[859930],Worthwile,['GN0100'],['Kate Kim (케이트 킴)'],295064,GN0100
"['GN0105', 'GN0101']",20200113,그리워서,10374768,[2762984],그리워서,['GN0100'],['한솔'],553699,GN0100
"['GN0101', 'GN0103']",19980501,Forever,5313,[100015],그대만큼,['GN0100'],['R.ef'],145728,GN0100
"['GN0104', 'GN1502', 'GN1501', 'GN0101']",20040715,늑대의 유혹 OST,35123,[58324],고백,"['GN1500', 'GN0100']",['이수훈'],550271,GN1500 GN0100
"['GN0105', 'GN1501', 'GN0101', 'GN1504']",20101108,닥터챔프 OST,1066258,[3033],자꾸만,"['GN1500', 'GN0100']",['서영은'],22688,GN1500 GN0100
"['GN0104', 'GN0101']",20051208,Korea Drama & Movie OST Remake Album Vol.1,311402,[7631],우울한 편지,['GN0100'],['리치'],159532,GN0100
['GN0101'],20180604,하루하루,10172987,[1866107],하루하루,['GN0100'],['리마크'],454695,GN0100
"['GN0105', 'GN0101']",20160602,Be My Love,2688648,[723407],Be My Love,['GN0100'],['윤혜'],342733,GN0100
"['GN0105', 'GN0101']",20120418,Lee Seung Gi `The Best`,2113210,[58793],내 여자라니까,['GN0100'],['이승기'],27758,GN0100
"['GN0105', 'GN0101']",20200126,그저 사랑만 했을 뿐이었는데,10379031,[830689],그저 사랑만 했을 뿐이었는데,['GN0100'],['진혁'],385843,GN0100
"['GN0105', 'GN0101']",20161007,내 노래 가사 말이야,10004026,[1202732],내 노래 가사 말이야,['GN0100'],['브레이크 먼데이 (Break Monday)'],372050,GN0100
['GN0101'],20050526,Sailing,303208,[169635],Hard To Say I`m Sorry,['GN0100'],['비욘드'],121909,GN0100
['GN0101'],20090106,Thanks Always,460052,[31],잊으라니...,['GN0100'],['강수지'],103670,GN0100
"['GN1501', 'GN0101']",20181103,하나뿐인 내편 OST Part.8,10218776,[243303],사랑하며 살수있다 (Inst.),"['GN1500', 'GN0100']",['진원'],263563,GN1500 GN0100
